名次,隊伍名稱,目前總分
1,浪費三十分鐘取名字,0.9835164835164835
1,歐肯,0.9835164835164835
3,烜智宏斐毅,0.9743589743589745
4,大數軟體,0.9630776572209215
5,StarRingChild,0.9615384615384616
5,來玩AI,0.9615384615384616
5,Brainchild,0.9615384615384616
8,NUSE,0.9487057270660701
9,摸鼠小隊,0.9422973809032791
10,Unicode Studio,0.9417187427027756
11,Fintech101_Transformer,0.935897435897436
12,真D難,0.9245956859938449
13,Robust,0.9230769230769231
13,SSW,0.9230769230769231
13,LeeTung,0.9230769230769231
13,LiteralStarT,0.9230769230769231
17,羅密歐與傅立葉,0.9217577540011068
18,What You See Is What You Get,0.918995210412381
19,888,0.9038358424417405
20,AI yodass,0.9022929468337545
21,team1,0.8942256135285626
22,MTB2021,0.8942204633522961
23,舊產業中央,0.8853651474471008
24,DeepBlueShark,0.8846153846153846
24,上班沒刷卡,0.8846153846153846
24,Triceratops,0.8846153846153846
27,展祐浴室拖鞋,0.8654151733607508
28,BlaBlaBla,0.8632315754755011
29,BlackboxOperator,0.857735433051005
30,巧克力牛奶好好喝,0.8461538461538461
30,這裡有沒有第五個章魚哥,0.8461538461538461
32,62159-33,0.8401774918487751
33,VIPLAB,0.8076923076923077
34,我來識識,0.8074445229656946
35,快樂工作之下班train model,0.7975536115845808
36,雪山飛狐,0.7843822843822843
37,三山科技,0.7820375408799846
38,HyperUsagi,0.7429781695144602
39,NTU fintech master,0.712765072976535
40,朋朋與丁滿,0.6748006475208346
41,isayama,0.6655135091771226
42,AS,0.6538461538461539
43,路上行走的魚,0.6208690330477356
44,你也想下班對不隊,0.6159209314575226
45,啊我就怕被罵,0.585273007071088
46,chewyyummyyams,0.5
47,秩序守護者的部下們,0.4230769230769231
48,BJ4,0.27654780410444835
49,農藝碼農,0.2692307692307692
50,不能好好寫字嗎,0.0641025641025641
51,我們的興趣好分散,0.01097555231051863
52,AIA7,0.006849846825296907
53,MLHW16,0.0054587400526267945
54,nlp_lab,0.003247329458561474
55,李宅,0.003054178980620409
56,Big Brother,0.002950210456660011
57,Fintech group X,0.0025038873136376118
58,中國信託商業銀行 ChinaTrust Commercial Bank - 謹慎理財 信用至上,0.0024779589275649
58,BigPikachu,0.0024779589275649
58,trytry看ㄅ,0.0024779589275649
58,親魏隊,0.0024779589275649
58,時空旋渦旅人,0.0024779589275649
58,蜆仔的朋友,0.0024779589275649
64,路上遇到組一隊,0.002428927470113632
65,NTU0,0.0013065490772497142
66,尋章摘句,0.0012714885189632663
67,Richard Card,0.0
67,手跡辨識,0.0
67,跑得比狗還要快,0.0
67,角落畫圈圈,0.0
67,Handwithjob,0.0
67,一閃一閃亮晶晶,0.0
67,anywheredoorlab,0.0
67,台北直直撞,0.0
67,Norwegian Wood,0.0
67,SYZ,0.0
67,我就文盲,0.0
67,海鮮部隊鍋,0.0
67,Refresher,0.0
67,阿姆斯特朗旋風大砲,0.0
67,zh_jay,0.0
67,NDHUISL-ian,0.0
67,想不到隊名,0.0
67,好想吃麥當勞,0.0
67,童蒙認字,0.0
67,變形金剛,0.0
67,AGAI賦智行雲科技 工人智慧玩家,0.0
67,Funny Seals,0.0
67,大叔識字,0.0
67,玉山原本是座山,0.0
67,Edsu,0.0
67,志在參加一＿一,0.0
67,Hahaha,0.0
67,QAQ,0.0
67,PlusMinus,0.0
67,小菜雞,0.0
67,花旗掰掰,0.0
67,布布恰恰,0.0
67,玉山工人智慧,0.0
67,三九五二,0.0
67,像極了AI情,0.0
67,Transformer,0.0
67,NCKU Deep Learning,0.0
67,玉飯糰戰隊,0.0
67,AlexHsieh Vs JasonYang,0.0
67,NL,0.0
67,NCKU_Financial_Predictive_Analytics_Lab,0.0
67,2017LIPc,0.0
67,Kernel Died,0.0
67,忠孝東路走6辨,0.0
67,pui pui,0.0
67,三杯波波隊,0.0
67,CAE09,0.0
67,這名字我想的,0.0
